Datum,Aussentemperatur,Vorlauftemperatur,Rücklauftemperatur,RL-Solltemperatur,Warmwassertemperatur,WW-Solltemperatur,Verdichter 1,Ventilator,2. Wärmeerzeuger,Heizungsumwälzpumpe,Warmwasserpumpe,Zusatzumwälzpumpe,Flanschheizung,Störung
2014/10/26 01:52:54,7.5,26.3,26.3,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:53:22,7.5,26.3,26.3,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:53:52,7.5,26.2,26.3,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:54:20,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:54:50,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:55:16,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:55:46,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:56:13,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:56:43,7.5,26.2,26.3,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:57:10,7.5,26.2,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:57:40,7.5,26.2,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:58:07,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:58:37,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:00:05,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:00:35,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:01:02,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:01:32,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:02:02,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
2014/10/26 02:02:29,7.5,26.1,26.2,26.5,40.5,46.0,0,0,0,0,1,0,0,0
